Avatar|7.9
Pirates of the Caribbean: At World's End|7.1
Spectre|6.8
The Dark Knight Rises|8.5
Star Wars: Episode VII - The Force Awakens|7.1
John Carter|6.6
Spider-Man 3|6.2
Tangled|7.8
Avengers: Age of Ultron|7.5
Harry Potter and the Half-Blood Prince|7.5
Batman v Superman: Dawn of Justice|6.9
Superman Returns|6.1
Quantum of Solace|6.7
Pirates of the Caribbean: Dead Man's Chest|7.3
The Lone Ranger|6.5
Man of Steel|7.2
The Chronicles of Narnia: Prince Caspian|6.6
The Avengers|8.1
Pirates of the Caribbean: On Stranger Tides|6.7
Men in Black 3|6.8
The Hobbit: The Battle of the Five Armies|7.5
The Amazing Spider-Man|7.0
Robin Hood|6.7
The Hobbit: The Desolation of Smaug|7.9
The Golden Compass|6.1
King Kong|7.2
Titanic|7.7
Captain America: Civil War|8.2
Battleship|5.9
Jurassic World|7.0
Skyfall|7.8
Spider-Man 2|7.3
Iron Man 3|7.2
Alice in Wonderland|6.5
X-Men: The Last Stand|6.8
Monsters University|7.3
Transformers: Revenge of the Fallen|6.0
Transformers: Age of Extinction|5.7
Oz the Great and Powerful|6.4
The Amazing Spider-Man 2|6.7
TRON: Legacy|6.8
Cars 2|6.3
Green Lantern|5.6
Toy Story 3|8.3
Terminator Salvation|6.6
Furious 7|7.2
World War Z|7.0
X-Men: Days of Future Past|8.0
Star Trek Into Darkness|7.8
Jack the Giant Slayer|6.3
The Great Gatsby|7.3
Prince of Persia: The Sands of Time|6.6
Pacific Rim|7.0
Transformers: Dark of the Moon|6.3
Indiana Jones and the Kingdom of the Crystal Skull|6.2
The Good Dinosaur|6.8
Brave|7.2
Star Trek Beyond|7.5
WALL·E|8.4
Rush Hour 3|6.2
2012|5.8
A Christmas Carol|6.8
Jupiter Ascending|5.4
The Legend of Tarzan|6.6
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe|6.9
X-Men: Apocalypse|7.3
The Dark Knight|9.0
Up|8.3
Monsters vs. Aliens|6.5
Iron Man|7.9
Hugo|7.5
Wild Wild West|4.8
The Mummy: Tomb of the Dragon Emperor|5.2
Suicide Squad|6.9
Evan Almighty|5.4
Edge of Tomorrow|7.9
Waterworld|6.1
G.I. Joe: The Rise of Cobra|5.8
Inside Out|8.3
